,Выжил,Класс,Пол,Год_рождения,Цена,Каюта
0,0,3,male,1890.0,7.25,C85
1,1,1,female,1874.0,71.2833,C85
2,1,3,female,1886.0,7.925,C85
3,1,1,female,1877.0,53.1,C123
4,0,3,male,1877.0,8.05,C85
5,0,3,male,,8.4583,C85
6,0,1,male,1858.0,51.8625,E46
7,0,3,male,1910.0,21.075,C85
8,1,3,female,1885.0,11.1333,C85
9,1,2,female,1898.0,30.0708,C85
10,1,3,female,1908.0,16.7,G6
11,1,1,female,1854.0,26.55,C103
12,0,3,male,1892.0,8.05,C85
13,0,3,male,1873.0,31.275,C85
14,0,3,female,1898.0,7.8542,C85
15,1,2,female,1857.0,16.0,C85
16,0,3,male,1910.0,29.125,C85
17,1,2,male,,13.0,C85
18,0,3,female,1881.0,18.0,C85
19,1,3,female,,7.225,C85
20,0,2,male,1877.0,26.0,C85
21,1,2,male,1878.0,13.0,D56
22,1,3,female,1897.0,8.0292,C85
23,1,1,male,1884.0,35.5,A6
24,0,3,female,1904.0,21.075,C85
25,1,3,female,1874.0,31.3875,C85
26,0,3,male,,7.225,C85
27,0,1,male,1893.0,263.0,C23 C25 C27
28,1,3,female,,7.8792,C85
29,0,3,male,,7.8958,C85
30,0,1,male,1872.0,27.7208,C85
31,1,1,female,,146.5208,B78
32,1,3,female,,7.75,C85
33,0,2,male,1846.0,10.5,C85
34,0,1,male,1884.0,82.1708,C85
35,0,1,male,1870.0,52.0,C85
36,1,3,male,,7.2292,C85
37,0,3,male,1891.0,8.05,C85
38,0,3,female,1894.0,18.0,C85
39,1,3,female,1898.0,11.2417,C85
40,0,3,female,1872.0,9.475,C85
41,0,2,female,1885.0,21.0,C85
42,0,3,male,,7.8958,C85
43,1,2,female,1909.0,41.5792,C85
44,1,3,female,1893.0,7.8792,C85
45,0,3,male,,8.05,C85
46,0,3,male,,15.5,C85
47,1,3,female,,7.75,C85
48,0,3,male,,21.6792,C85
49,0,3,female,1894.0,17.8,C85
50,0,3,male,1905.0,39.6875,C85
51,0,3,male,1891.0,7.8,C85
52,1,1,female,1863.0,76.7292,D33
53,1,2,female,1883.0,26.0,C85
54,0,1,male,1847.0,61.9792,B30
55,1,1,male,,35.5,C52
56,1,2,female,1891.0,10.5,C85
57,0,3,male,1883.5,7.2292,C85
58,1,2,female,1907.0,27.75,C85
59,0,3,male,1901.0,46.9,C85
60,0,3,male,1890.0,7.2292,C85
61,1,1,female,1874.0,80.0,B28
62,0,1,male,1867.0,83.475,C83
63,0,3,male,1908.0,27.9,C85
64,0,1,male,,27.7208,C85
65,1,3,male,,15.2458,C85
66,1,2,female,1883.0,10.5,F33
67,0,3,male,1893.0,8.1583,C85
68,1,3,female,1895.0,7.925,C85
69,0,3,male,1886.0,8.6625,C85
70,0,2,male,1880.0,10.5,C85
71,0,3,female,1896.0,46.9,C85
72,0,2,male,1891.0,73.5,C85
73,0,3,male,1886.0,14.4542,C85
74,1,3,male,1880.0,56.4958,C85
75,0,3,male,1887.0,7.65,F G73
76,0,3,male,,7.8958,C85
77,0,3,male,,8.05,C85
78,1,2,male,1911.17,29.0,C85
79,1,3,female,1882.0,12.475,C85
80,0,3,male,1890.0,9.0,C85
81,1,3,male,1883.0,9.5,C85
82,1,3,female,,7.7875,C85
83,0,1,male,1884.0,47.1,C85
84,1,2,female,1895.0,10.5,C85
85,1,3,female,1879.0,15.85,C85
86,0,3,male,1896.0,34.375,C85
87,0,3,male,,8.05,C85
88,1,1,female,1889.0,263.0,C23 C25 C27
89,0,3,male,1888.0,8.05,C85
90,0,3,male,1883.0,8.05,C85
91,0,3,male,1892.0,7.8542,C85
92,0,1,male,1866.0,61.175,E31
93,0,3,male,1886.0,20.575,C85
94,0,3,male,1853.0,7.25,C85
95,0,3,male,,8.05,C85
96,0,1,male,1841.0,34.6542,A5
97,1,1,male,1889.0,63.3583,D10 D12
98,1,2,female,1878.0,23.0,C85
99,0,2,male,1878.0,26.0,C85
100,0,3,female,1884.0,7.8958,C85
101,0,3,male,,7.8958,C85
102,0,1,male,1891.0,77.2875,D26
103,0,3,male,1879.0,8.6542,C85
104,0,3,male,1875.0,7.925,C85
105,0,3,male,1884.0,7.8958,C85
106,1,3,female,1891.0,7.65,C85
107,1,3,male,,7.775,C85
108,0,3,male,1874.0,7.8958,C85
109,1,3,female,,24.15,C85
110,0,1,male,1865.0,52.0,C110
111,0,3,female,1897.5,14.4542,C85
112,0,3,male,1890.0,8.05,C85
113,0,3,female,1892.0,9.825,C85
114,0,3,female,1895.0,14.4583,C85
115,0,3,male,1891.0,7.925,C85
